date,temperature,network,turbine,exchanged,T1,T2,T3,T4,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
2019-07-10 00:00:00,40.48202,2118.4834,6343.105,0.0,0.0,727.1475,649.1599,192.24487,61.837143,76.99554,150.08762,26.283224,147.98952,10.945922,51.053864,222.96826,164.07498,423.10138,369.3639,8.099657
2019-07-10 01:00:00,41.3603,1827.4323,6180.4614,0.0,0.0,716.9823,640.1982,191.41539,49.199726,74.962494,151.17734,25.567593,147.95699,10.848336,49.866566,225.39166,163.81476,421.44238,366.06223,8.538795
2019-07-10 02:00:00,40.36817,1749.5747,6343.105,0.0,0.0,707.14233,630.4559,186.91016,53.31461,73.222206,148.60757,25.7465,147.92445,10.60437,48.093746,241.81866,163.76596,415.11557,353.31094,7.9370136
2019-07-10 03:00:00,42.85662,2128.8926,6343.105,0.0,0.0,708.2971,633.13947,186.48729,43.913803,75.07634,146.50946,25.095926,147.71303,10.75075,47.914837,230.30351,163.86354,424.923,353.76636,8.522531
2019-07-10 04:00:00,42.30363,1697.5287,6343.105,0.0,0.0,712.8674,638.8808,189.07332,46.483574,74.116745,150.16895,32.691387,147.89194,10.327876,48.500355,234.0118,164.10751,419.18167,359.68658,8.18098
2019-07-10 05:00:00,42.88915,774.86725,6343.105,0.0,0.0,711.12714,636.44116,195.82304,41.311504,75.64559,155.63377,37.01771,147.95699,10.425462,49.44369,261.2058,164.4328,412.07413,356.18976,8.685175
2019-07-10 06:00:00,38.31886,1956.0996,6180.4614,0.0,0.0,877.658,781.9585,209.09476,70.798805,75.011284,168.69406,45.995644,147.95699,10.246554,199.25482,239.76936,154.77177,429.99747,359.6053,50.89122
2019-07-10 07:00:00,35.846676,2568.1606,6343.105,0.0,0.0,875.3648,779.5025,203.10947,59.934208,75.04381,162.18832,44.48306,147.89194,10.311612,227.39218,228.77466,124.81279,393.71167,365.94836,55.461506
2019-07-10 08:00:00,33.878685,2771.7578,6180.4614,0.0,0.0,928.5167,825.09155,145.45229,74.71852,75.95462,103.9456,60.340816,147.95699,19.696154,249.57678,236.58156,124.877846,402.55945,370.24216,61.788353
2019-07-10 09:00:00,32.414894,2611.8792,6180.4614,0.0,0.0,902.6076,802.5492,145.84262,66.06588,75.141396,105.47445,56.74639,147.95699,20.476845,201.0927,237.67128,127.04101,393.79297,388.05164,61.788353
